Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Martin MAC Quantum Profile,12° - 36°,750W,,,115,,A.347,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-0,584m","12,922m","0,118m","-0,0°","0,0°","-110,3°",-90°,110°,No,0°,0°,No,0°,0°,2a5ac346-8693-4839-b51c-825bd49af637,
Martin MAC Quantum Profile,12° - 36°,750W,,,130,,B.134,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"18,359m","4,948m","0,118m","-0,0°","0,0°","173,3°",-270°,173°,No,0°,0°,No,0°,0°,db5b93b6-b27c-4686-8f65-272042a0af8a,
Martin MAC Quantum Profile,12° - 36°,750W,,,129,,B.115,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"16,248m","5,550m","0,118m","-0,0°","0,0°","155,3°",-270°,155°,No,0°,0°,No,0°,0°,989f663d-8f18-4348-8ea6-dd4fe941a54a,
Martin MAC Quantum Profile,12° - 36°,750W,,,128,,B.96,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"14,504m","6,750m","0,118m","0,0°","-0,0°","137,3°",-270°,137°,No,0°,0°,No,0°,0°,0e23b99b-0c5a-4fd7-a01d-0707dd67d705,
Martin MAC Quantum Profile,12° - 36°,750W,,,127,,B.77,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"13,267m","8,360m","0,118m","-0,0°","-0,0°","119,3°",-270°,119°,No,0°,0°,No,0°,0°,da476d4f-edaf-4c9c-a3ce-1cac2542672b,
Martin MAC Quantum Profile,12° - 36°,750W,,,126,,B.58,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"11,770m","8,330m","0,118m","-0,0°","-0,0°","-119,2°",-90°,119°,No,0°,0°,No,0°,0°,0091fbe8-f7e4-4f1a-a634-5bfd04197b8a,
Martin MAC Quantum Profile,12° - 36°,750W,,,125,,B.39,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"10,405m","6,611m","0,118m","-0,0°","-0,0°","-137,2°",-90°,137°,No,0°,0°,No,0°,0°,b8c656ed-40da-4c09-a0dd-e59103664e11,
Martin MAC Quantum Profile,12° - 36°,750W,,,124,,B.20,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"8,627m","5,460m","0,118m","0,0°","0,0°","-155,2°",-90°,155°,No,0°,0°,No,0°,0°,0f35c694-8aba-43ce-a10b-f7c443f7dcb2,
Martin MAC Quantum Profile,12° - 36°,750W,,,123,,B.1,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"6,666m","4,935m","0,118m","0,0°","-0,0°","-173,2°",-90°,173°,No,0°,0°,No,0°,0°,aa9f901f-b3e7-4cd6-ad06-c89a3bb40e28,
Martin MAC Quantum Profile,12° - 36°,750W,,,122,,A.480,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"4,954m","4,933m","0,118m","0,0°","0,0°","173,3°",-270°,173°,No,0°,0°,No,0°,0°,a1f1584d-e5c2-41ba-ad73-1a6f3dce4474,
Martin MAC Quantum Profile,12° - 36°,750W,,,121,,A.461,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"3,297m","5,631m","0,118m","-0,0°","-0,0°","141,8°",-270°,141°,No,0°,0°,No,0°,0°,30e8332b-7ef3-4f2b-8ae1-efbae002ec6f,
Martin MAC Quantum Profile,12° - 36°,750W,,,120,,A.442,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"2,163m","6,857m","0,118m","-0,0°","-0,0°","123,8°",-270°,123°,No,0°,0°,No,0°,0°,71ce0d0a-20ed-44cb-bf05-de6caef35551,
Martin MAC Quantum Profile,12° - 36°,750W,,,119,,A.423,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"1,383m","8,339m","0,118m","-0,0°","-0,0°","110,3°",-270°,110°,No,0°,0°,No,0°,0°,f1242201-f3ec-47f0-94d2-94a4e4e7bd5e,
Martin MAC Quantum Profile,12° - 36°,750W,,,118,,A.404,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"1,000m","9,922m","0,118m","-0,0°","-0,0°","96,8°",-270°,96°,No,0°,0°,No,0°,0°,fc527758-8ce0-42a3-a224-664331fc9980,
Martin MAC Quantum Profile,12° - 36°,750W,,,117,,A.385,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"0,898m","11,505m","0,118m","-0,0°","-0,0°","96,8°",-270°,96°,No,0°,0°,No,0°,0°,a29a8240-f0d4-4187-8f16-3af78ffbb4e2,
Martin MAC Quantum Profile,12° - 36°,750W,,,116,,A.366,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"0,584m","12,922m","0,118m","-0,0°","-0,0°","110,3°",-270°,110°,No,0°,0°,No,0°,0°,5477cc37-514c-48d5-ab95-cc80ee29de0d,
Chauvet Rogue R2X Wash,12° - 49°,475W,,,402,,C.368,17 Channel,17,1.2 Chauvet Rogue R2 Wash,,,,,,,"10,3kg",,"-0,520m","5,358m","3,532m","0,0°","-0,0°","-173,6°",-89°,173°,No,0°,0°,No,0°,0°,d1b57164-1489-41a5-bcdd-9e090effba04,
Chauvet Rogue R2X Wash,12° - 49°,475W,,,401,,C.351,17 Channel,17,1.2 Chauvet Rogue R2 Wash,,,,,,,"10,3kg",,"-1,767m","5,066m","3,532m","-0,0°","-0,0°","-160,7°",-89°,160°,No,0°,0°,No,0°,0°,4818a95f-799a-49b1-ab4e-bc2a8d5c4260,
Chauvet Rogue R2X Wash,12° - 49°,475W,,,403,,C.385,17 Channel,17,1.2 Chauvet Rogue R2 Wash,,,,,,,"10,3kg",,"0,520m","5,358m","3,532m","0,0°","0,0°","173,6°",89°,173°,No,0°,0°,No,0°,0°,5634b9cc-cde5-4d2f-8758-9a6b3af92d5d,
Chauvet Rogue R2X Wash,12° - 49°,475W,,,404,,C.402,17 Channel,17,1.2 Chauvet Rogue R2 Wash,,,,,,,"10,3kg",,"1,767m","5,066m","3,532m","-0,0°","0,0°","160,7°",89°,160°,No,0°,0°,No,0°,0°,99316b6b-cd74-49c7-be6a-7432d141913a,
